row,pl_name,st_name,st_num,pl_num,dis_met,dis_year,dis_loc,dic_fac,pl_orbper,pl_orb,pl_rade,pl_radj,pl_masse,pl_massj,pl_temp,st_spectype,st_temp,st_rad,st_mass,glat,glon,sy_dist,habit
4216,WASP-55 b,WASP-55,2,1,Transit,2012,Ground,SuperWASP,4.46563,0.0558,14.908,1.33,193.8763,0.61,1300,,5900,1.09,1.11,44.13311,317.4826,297.462,0
4217,WASP-56 b,WASP-56,2,1,Transit,2012,Ground,SuperWASP,4.6171,0.05614,10.536,0.94,143.0235,0.45,1216,G6,5600,0.96,0.71,80.49113,236.2055,321.084,0
4218,WASP-57 b,WASP-57,1,1,Transit,2012,Ground,SuperWASP,2.83891856,0.03769,11.769,1.05,204.68252,0.644,1338,G6,5600,0.93,0.89,48.27253,353.5041,398.276,0
4219,WASP-58 b,WASP-58,2,1,Transit,2012,Ground,SuperWASP,5.01718,0.0562,16.029,1.43,308.2951,0.97,1270,G2 V,5800,1.22,1.06,24.35783,72.933,290.404,0
4220,WASP-59 b,WASP-59,1,1,Transit,2012,Ground,SuperWASP,7.919585,0.0697,8.687,0.775,274.276,0.863,670,K5 V,4650,0.61,0.72,-33.36248,97.55982,115.936,0
4221,WASP-6 b,WASP-6,1,1,Transit,2009,Ground,SuperWASP,3.36101,0.04217,11.545,1.03,117.5971,0.37,1184,,5450,0.73,0.55,-67.19551,38.73105,197.119,0
4222,WASP-60 b,WASP-60,1,1,Transit,2012,Ground,SuperWASP,4.305,0.05548,9.864,0.88,174.8065,0.55,1479,G1 V,5900,1.17,1.19,-29.70217,106.985,431.052,0
4223,WASP-61 b,WASP-61,1,1,Transit,2012,Ground,SuperWASP,3.8559,0.0521,15.805,1.41,851.7844,2.68,1624,,6250,1.55,1.82,-34.76468,227.121,488.66,0
4224,WASP-62 b,WASP-62,1,1,Transit,2012,Ground,SuperWASP,4.41195,0.0571,14.796,1.32,165.2716,0.52,1475,,6230,1.23,1.11,-31.03357,273.4158,175.631,0
4225,WASP-63 b,WASP-63,1,1,Transit,2012,Ground,SuperWASP,4.37808,0.0574,15.805,1.41,117.5971,0.37,,,5550,1.86,1.28,-22.72044,245.6721,290.684,0
4226,WASP-64 b,WASP-64,2,1,Transit,2012,Ground,SuperWASP,1.5732918,0.02648,14.247,1.271,403.945,1.271,1689,G7,5400,1.06,1,-15.67373,242.234,369.926,0
4227,WASP-65 b,WASP-65,1,1,Transit,2013,Ground,SuperWASP,2.3114243,0.0334,12.464,1.112,492.62,1.55,1480,G6,5600,1.01,0.93,30.91919,219.4062,273.703,0
4228,WASP-66 b,WASP-66,1,1,Transit,2012,Ground,SuperWASP,4.08605,0.0546,15.693,1.4,746.9005,2.35,,,6600,1.76,1.33,19.78218,273.2744,500.258,0
4229,WASP-67 b,WASP-67,1,1,Transit,2012,Ground,SuperWASP,4.61442,0.05179,12.89,1.15,136.6669,0.43,1003,,5200,0.88,0.91,-20.00628,20.13799,189.469,0
4230,WASP-68 b,WASP-68,2,1,Transit,2014,Ground,SuperWASP,5.0843,0.06206,14.796,1.32,343.2564,1.08,1490,G0,5910,1.79,1.49,-27.9473,24.36942,226.399,0
4231,WASP-69 b,WASP-69,1,1,Transit,2014,Ground,SuperWASP,3.86814,0.04525,12.442,1.11,92.1707,0.29,963,K5,4700,0.86,0.98,-30.82581,43.85818,49.9605,0
