row,pl_name,st_name,st_num,pl_num,dis_met,dis_year,dis_loc,dic_fac,pl_orbper,pl_orb,pl_rade,pl_radj,pl_masse,pl_massj,pl_temp,st_spectype,st_temp,st_rad,st_mass,glat,glon,sy_dist,habit
742,HD 23472 c,HD 23472,1,2,Transit,2019,Space,Transiting Exoplanet Survey Satellite (TESS),29.625,0.17,2.149,0.192,17.18,0.05405,475,,4813,0.73,0.75,-44.84771,277.0263,39.0341,0
743,HD 23596 b,HD 23596,2,1,Radial Velocity,2003,Ground,Haute-Provence Observatory,1561,2.77,12.5,1.12,2870.0049,9.03,,F8 V,6040,1.53,1.47,-10.90041,155.5517,52.0018,0
744,HD 238914 b,HD 238914,1,1,Radial Velocity,2018,Ground,Multiple Observatories,4100,5.7,12.8,1.14,1906.98,6,,,4769,12.73,1.47,24.70119,88.75116,519.452,0
745,HD 240210 b,HD 240210,1,1,Radial Velocity,2009,Ground,McDonald Observatory,501.75,1.16,12.8,1.14,1655.82,5.21,,K3 III,4297,,0.82,-3.184935,109.4938,372.405,0
746,HD 240237 b,HD 240237,1,1,Radial Velocity,2011,Ground,McDonald Observatory,745.70001,1.92,12.2,1.09,5050.3187,15.89,,K2 III,3926,71.23,8.76,-2.502958,110.521,933.377,0
747,HD 24040 b,HD 24040,1,1,Radial Velocity,2006,Ground,W. M. Keck Observatory,3668,4.92,13,1.16,1226.8238,3.86,,,5802,1.3,1.11,-27.78062,172.292,46.6224,0
748,HD 24064 b,HD 24064,1,1,Radial Velocity,2015,Ground,Bohyunsan Optical Astronomical Observatory,535.59998,1.29,12.3,1.1,4096.8287,12.89,,K0,4052,40,1.61,15.65309,134.815,300.247,0
749,HD 24085 b,HD 24085,1,1,Radial Velocity,2019,Ground,Las Campanas Observatory,2.0455,0.034,3.46,0.309,11.8,0.03713,,G0 V,6034,,1.22,-40.50169,284.9525,54.9004,0
750,HD 25015 b,HD 25015,1,1,Radial Velocity,2019,Ground,La Silla Observatory,6019.32,6.19,12.9,1.15,1423.8784,4.48,,K1 V,5160,0.83,0.86,-47.0438,214.1304,37.433,0
751,HD 25171 b,HD 25171,2,1,Radial Velocity,2010,Ground,La Silla Observatory,1802.29,2.971,13.9,1.24,290.81445,0.915,,F8 V,6125,1.23,1.08,-42.2902,278.8056,55.6146,0
752,HD 2638 b,HD 2638,3,1,Radial Velocity,2005,Ground,La Silla Observatory,3.4442,0.04,14.3,1.28,133.4886,0.42,,G5,5186,0.94,0.77,-68.03483,108.5445,54.9621,0
753,HD 2685 b,HD 2685,1,1,Transit,2019,Space,Transiting Exoplanet Survey Satellite (TESS),4.12688,0.0568,16.141,1.44,371.8611,1.17,2061,,6801,1.56,1.43,-40.74996,304.658,196.852,0
754,HD 26965 b,HD 26965,3,1,Radial Velocity,2018,Ground,Multiple Observatories,42.378,,2.84,0.254,8.47,0.02665,,K0 V,5072,0.87,0.78,-38.04782,200.7528,5.03545,0
755,HD 27442 b,HD 27442,2,1,Radial Velocity,2000,Ground,Anglo-Australian Telescope,428.1,1.271,13.5,1.21,495.8,1.56,,,4846,,1.23,-42.56326,270.2042,18.2704,0
756,HD 27631 b,HD 27631,1,1,Radial Velocity,2012,Ground,La Silla Observatory,2198.14,3.242,13.6,1.21,474.83802,1.494,,G3 IV-V,5737,0.92,0.94,-45.3649,246.3238,50.2862,0
757,HD 27894 b,HD 27894,1,3,Radial Velocity,2005,Ground,La Silla Observatory,18.02,0.125,14.1,1.25,211.35695,0.665,,K2 V,4875,,0.8,-42.0098,270.1017,43.8214,0
758,HD 27894 c,HD 27894,1,3,Radial Velocity,2017,Ground,La Silla Observatory,36.07,0.198,8.24,0.735,51.48846,0.162,,K2 V,,,0.8,-42.0098,270.1017,43.8214,0
759,HD 27894 d,HD 27894,1,3,Radial Velocity,2017,Ground,La Silla Observatory,5174,5.448,12.8,1.14,1721.04945,5.415,,K2 V,,,0.8,-42.0098,270.1017,43.8214,0
760,HD 28185 b,HD 28185,1,1,Radial Velocity,2001,Ground,La Silla Observatory,379,1.02,12.8,1.14,1875.197,5.9,,G0 V,5662,1.03,1.02,-36.93099,205.5933,39.3809,0
761,HD 28254 b,HD 28254,2,1,Radial Velocity,2010,Ground,La Silla Observatory,1116,2.15,13.7,1.22,368.67,1.16,,G1 IV/V,5664,1.48,1.06,-43.59034,258.2816,55.2884,0
762,HD 285507 b,HD 285507,1,1,Radial Velocity,2013,Ground,Fred Lawrence Whipple Observatory,6.0881,0.06,13.8,1.23,311.4734,0.98,,K4.5 V,4503,0.69,0.82,-26.3392,177.1126,45.0293,0
763,HD 285968 b,HD 285968,1,1,Radial Velocity,2008,Ground,La Silla Observatory,8.7836,0.066,2.83,0.253,8.4,0.026,450,M2 V,3543,0.49,0.5,-17.42651,180.0154,9.47045,0
764,HD 28678 b,HD 28678,1,1,Radial Velocity,2011,Ground,W. M. Keck Observatory,380.2,1.18,13.5,1.21,490.09386,1.542,,,4972,6.48,1.53,-28.19796,190.8214,189.908,0
765,HD 29021 b,HD 29021,1,1,Radial Velocity,2017,Ground,Haute-Provence Observatory,1362.3,2.28,13.3,1.18,762.792,2.4,,G5,5560,0.85,0.85,9.071792,147.3933,30.9939,0
766,HD 290327 b,HD 290327,1,1,Radial Velocity,2009,Ground,La Silla Observatory,2443,3.43,13.3,1.18,772.3269,2.43,,G8 V,5505,0.95,0.84,-20.58129,204.6126,56.433,0
767,HD 2952 b,HD 2952,1,1,Radial Velocity,2013,Ground,Okayama Astrophysical Observatory,311.60001,1.23,13.6,1.21,435.4271,1.37,,K0 III,4844,10.76,1.97,-7.882789,120.2828,110.103,0
768,HD 30177 b,HD 30177,1,2,Radial Velocity,2002,Ground,Anglo-Australian Telescope,2527.83,3.704,12.6,1.12,2740.33026,8.622,,,5607,1.02,1.05,-39.73414,267.3697,55.5867,0
769,HD 30177 c,HD 30177,1,2,Radial Velocity,2016,Ground,Multiple Observatories,11613,9.89,12.6,1.13,2415.508,7.6,,,5580,,0.99,-39.73414,267.3697,55.5867,0
770,HD 30562 b,HD 30562,1,1,Radial Velocity,2009,Ground,Lick Observatory,1157,2.34,13.7,1.22,387.7526,1.22,,F8 V,5882,1.61,1.12,-29.82405,203.3963,26.1597,0
771,HD 30669 b,HD 30669,1,1,Radial Velocity,2014,Ground,La Silla Observatory,1684,2.69,14.3,1.27,149.37,0.47,,G9 V,5400,0.91,0.92,-38.10543,229.0593,58.0844,0
772,HD 30856 b,HD 30856,2,1,Radial Velocity,2011,Ground,W. M. Keck Observatory,847,1.85,13.5,1.21,491.68301,1.547,,,4895,4.4,1.17,-36.65389,224.2721,131.199,0
773,HD 31253 b,HD 31253,1,1,Radial Velocity,2010,Ground,W. M. Keck Observatory,466,1.26,14.1,1.26,197.0546,0.62,,,6130,1.75,1.7,-19.04418,187.3921,58.1438,0
774,HD 31527 b,HD 31527,1,3,Radial Velocity,2019,Ground,La Silla Observatory,16.5535,0.1254,3.22,0.288,10.47,0.0329,,G2 V,5898,,0.96,-35.15335,223.3892,38.4473,0
775,HD 31527 c,HD 31527,1,3,Radial Velocity,2019,Ground,La Silla Observatory,51.2053,0.2663,3.85,0.343,14.16,0.0445,,G2 V,5898,,0.96,-35.15335,223.3892,38.4473,0
776,HD 31527 d,HD 31527,1,3,Radial Velocity,2019,Ground,La Silla Observatory,271.6737,0.8098,3.46,0.309,11.82,0.0372,,G2 V,5898,,0.96,-35.15335,223.3892,38.4473,0
777,HD 3167 b,HD 3167,1,3,Transit,2016,Space,K2,0.959624,0.0186,1.7,0.152,5.02,0.01579,1669,K0 V,5528,0.87,0.94,-58.2398,115.1104,47.2899,0
778,HD 3167 c,HD 3167,1,3,Transit,2016,Space,K2,29.83832,0.1841,2.86,0.255,9.8,0.03083,531,K0 V,5528,0.87,0.94,-58.2398,115.1104,47.2899,0
779,HD 3167 d,HD 3167,1,3,Radial Velocity,2017,Ground,W. M. Keck Observatory,8.509,0.07757,2.52,0.225,6.9,0.02171,,K0 V,5261,0.86,0.86,-58.2398,115.1104,47.2899,0
780,HD 32518 b,HD 32518,1,1,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,157.54,0.59,13.1,1.17,966.16,3.04,,K1 III,4580,10.22,1.13,17.12148,142.1228,122.115,0
781,HD 32963 b,HD 32963,1,1,Radial Velocity,2015,Ground,W. M. Keck Observatory,2372,3.41,14,1.25,222.481,0.7,,,5727,,0.94,-8.389648,177.5317,38.0786,0
782,HD 330075 b,HD 330075,1,1,Radial Velocity,2004,Ground,La Silla Observatory,3.38773,0.04,14.3,1.27,152.5584,0.48,990,K1,5000,0.84,0.47,3.37613,329.8068,45.2989,0
783,HD 33142 b,HD 33142,1,2,Radial Velocity,2011,Ground,W. M. Keck Observatory,326,1.07,13.6,1.21,440.19455,1.385,,,4978,4.45,1.41,-29.2265,214.3376,121.375,0
784,HD 33142 c,HD 33142,1,2,Radial Velocity,2018,Ground,W. M. Keck Observatory,834,,12.8,1.14,1897.4451,5.97,,,,,1.62,-29.2265,214.3376,121.375,0
785,HD 332231 b,HD 332231,1,1,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),18.71204,0.1436,9.718,0.867,77.55052,0.244,876,F8,6089,1.28,1.13,-2.654585,73.3665,80.6665,0
786,HD 33283 b,HD 33283,2,1,Radial Velocity,2006,Ground,W. M. Keck Observatory,18.1991,0.1508,12.5,1.12,104.56607,0.329,,G3/G5 V,5935,1.97,1.38,-33.50542,228.4968,89.8623,0
787,HD 33564 b,HD 33564,1,1,Radial Velocity,2005,Ground,Haute-Provence Observatory,388,1.1,12.5,1.12,2892.1,9.1,,F6 V,6250,,1.25,22.64799,133.7345,20.9531,0
788,HD 33844 b,HD 33844,1,2,Radial Velocity,2015,Ground,Anglo-Australian Telescope,551.40002,1.6,13.4,1.19,638.8383,2.01,,K0 III,4861,5.39,1.84,-28.49432,215.8968,105.779,0
789,HD 33844 c,HD 33844,1,2,Radial Velocity,2015,Ground,Anglo-Australian Telescope,916,2.24,13.5,1.2,556.2025,1.75,,K0 III,4861,5.29,1.78,-28.49432,215.8968,105.779,0
790,HD 34445 b,HD 34445,1,6,Radial Velocity,2009,Ground,W. M. Keck Observatory,1049,2.07,13.9,1.24,260.6206,0.82,,G0 V,5879,1.38,1.14,-17.02188,195.0382,46.0907,0
791,HD 34445 c,HD 34445,1,6,Radial Velocity,2017,Ground,Multiple Observatories,214.67,0.7181,8.42,0.752,53.5,0.168,,G0 V,5836,1.38,1.07,-17.02188,195.0382,46.0907,0
792,HD 34445 d,HD 34445,1,6,Radial Velocity,2017,Ground,Multiple Observatories,117.87,0.4817,6.07,0.542,30.7,0.097,,G0 V,5836,1.38,1.07,-17.02188,195.0382,46.0907,0
793,HD 34445 e,HD 34445,1,6,Radial Velocity,2017,Ground,Multiple Observatories,49.175,0.2687,4.26,0.38,16.8,0.0529,,G0 V,5836,1.38,1.07,-17.02188,195.0382,46.0907,0
794,HD 34445 f,HD 34445,1,6,Radial Velocity,2017,Ground,Multiple Observatories,676.8,1.543,6.88,0.613,37.9,0.119,,G0 V,5836,1.38,1.07,-17.02188,195.0382,46.0907,0
795,HD 34445 g,HD 34445,1,6,Radial Velocity,2017,Ground,Multiple Observatories,5700,6.36,13.6,1.21,120.6,0.38,,G0 V,5836,1.38,1.07,-17.02188,195.0382,46.0907,0
796,HD 35759 b,HD 35759,1,1,Radial Velocity,2016,Ground,Haute-Provence Observatory,82.467,0.389,13,1.16,1195.0408,3.76,,G0,6060,,1.15,16.21333,148.0304,71.2423,0
797,HD 3651 b,HD 3651,1,1,Radial Velocity,2003,Ground,Multiple Observatories,62.25,0.295,10.1,0.899,72.46524,0.228,,K0 V,5221,0.87,0.8,-41.53312,119.1727,11.1336,0
798,HD 37124 b,HD 37124,1,3,Radial Velocity,2002,Ground,W. M. Keck Observatory,154.378,0.53364,14,1.25,214.53525,0.675,,G4 V,,,0.85,-5.97361,185.9625,31.6634,0
799,HD 37124 c,HD 37124,1,3,Radial Velocity,2002,Ground,W. M. Keck Observatory,885.5,1.71,14.1,1.25,207.22516,0.652,,G4 V,,,0.85,-5.97361,185.9625,31.6634,0
800,HD 37124 d,HD 37124,1,3,Radial Velocity,2005,Ground,W. M. Keck Observatory,1862,2.807,14,1.25,221.20968,0.696,,G4 V,,,0.85,-5.97361,185.9625,31.6634,0
801,HD 37605 b,HD 37605,1,2,Radial Velocity,2004,Ground,McDonald Observatory,55.01292,0.277,13.2,1.18,854.9627,2.69,,K0,5329,0.91,0.94,-12.89532,199.1044,46.7864,0
802,HD 37605 c,HD 37605,1,2,Radial Velocity,2012,Ground,Multiple Observatories,2720,3.74,13.1,1.17,1013.8777,3.19,,K0,5329,0.91,0.94,-12.89532,199.1044,46.7864,0
803,HD 38283 b,HD 38283,1,1,Radial Velocity,2010,Ground,Anglo-Australian Telescope,363.20001,1.02,14,1.25,127.132,0.4,,,5981,1.49,1.37,-31.15363,284.8218,38.0615,0
804,HD 38529 b,HD 38529,2,2,Radial Velocity,2000,Ground,Multiple Observatories,14.30944,0.1294,13.9,1.24,253.31051,0.797,,G4 IV,5541,2.56,1.41,-13.83695,204.3173,42.3538,0
805,HD 38529 c,HD 38529,2,2,Radial Velocity,2000,Ground,Multiple Observatories,2136.1,3.64,12.3,1.1,4128.6117,12.99,,G4 IV,5541,2.56,1.41,-13.83695,204.3173,42.3538,0
806,HD 38801 b,HD 38801,1,1,Radial Velocity,2009,Ground,Subaru Telescope,685.25,1.623,12.5,1.11,3082.31534,9.698,,K0,5338,2.03,1.21,-17.86309,213.2677,91.4349,0
807,HD 39091 b,HD 39091,1,2,Radial Velocity,2001,Ground,Anglo-Australian Telescope,2093.07,3.1,12.3,1.1,4100.007,12.9,,G0 V,6037,1.1,1.09,-29.77632,292.5135,18.2702,0
808,HD 39855 b,HD 39855,1,1,Radial Velocity,2019,Ground,Las Campanas Observatory,3.2498,0.041,2.85,0.254,8.5,0.02674,,G8 V,5576,,0.87,-21.08539,224.9653,23.2599,0
809,HD 40307 b,HD 40307,1,5,Radial Velocity,2009,Ground,La Silla Observatory,4.3123,0.0468,1.83,0.163,4,0.0126,910,K2.5 V,4956,0.72,0.77,-30.34041,268.8143,12.9363,0
810,HD 40307 c,HD 40307,1,5,Radial Velocity,2009,Ground,La Silla Observatory,9.6184,0.0799,2.46,0.219,6.6,0.0208,696,K2.5 V,4956,0.72,0.77,-30.34041,268.8143,12.9363,0
811,HD 40307 d,HD 40307,1,5,Radial Velocity,2009,Ground,La Silla Observatory,20.432,0.1321,3.04,0.272,9.5,0.0299,541,K2.5 V,4956,0.72,0.77,-30.34041,268.8143,12.9363,0
812,HD 40307 f,HD 40307,1,5,Radial Velocity,2013,Ground,La Silla Observatory,51.76,0.247,2.13,0.19,5.2,0.0164,398,K2.5 V,4956,0.72,0.77,-30.34041,268.8143,12.9363,0
813,HD 40307 g,HD 40307,1,5,Radial Velocity,2013,Ground,La Silla Observatory,197.8,0.6,2.56,0.229,7.1,0.0223,255,K2.5 V,4956,0.72,0.77,-30.34041,268.8143,12.9363,0
814,HD 40956 b,HD 40956,1,1,Radial Velocity,2017,Ground,Multiple Observatories,578.6,1.4,13.2,1.18,858.141,2.7,,,4869,8.56,2,19.31001,150.6128,116.593,0
815,HD 40979 b,HD 40979,3,1,Radial Velocity,2002,Ground,Multiple Observatories,264.14999,0.85,12.9,1.15,1484.2661,4.67,,F8 V,6165,1.21,1.45,10.87159,168.495,34.0883,0
816,HD 41004 A b,HD 41004 A,2,2,Radial Velocity,2004,Ground,La Silla Observatory,963,,13.2,1.18,807.25,2.54,,,,,,-28.19615,255.4886,36.69117,0
817,HD 41004 B b,HD 41004 B,2,2,Radial Velocity,2003,Ground,La Silla Observatory,1.3283,,12.1,1.08,5838.29,18.37,,M2 V,,,0.4,-28.19621,255.4885,41.5504,0
818,HD 4113 b,HD 4113,3,1,Radial Velocity,2007,Ground,La Silla Observatory,526.62,1.28,13.5,1.21,495.79,1.56,,G5,5688,,0.99,-79.00894,311.4655,41.8727,0
819,HD 42012 b,HD 42012,1,1,Radial Velocity,2017,Ground,Haute-Provence Observatory,857.5,1.67,13.5,1.21,508.528,1.6,,K0,5405,0.82,0.83,7.078012,178.0604,36.7984,0
820,HD 4203 b,HD 4203,1,2,Radial Velocity,2001,Ground,W. M. Keck Observatory,431.88,1.17,13.3,1.19,708.7609,2.23,,,5596,1.42,1.25,-42.39475,120.7903,81.3795,0
821,HD 4203 c,HD 4203,1,2,Radial Velocity,2014,Ground,Gemini Observatory,6700,6.95,13.3,1.19,689.66,2.17,,,5582,1.5,0.99,-42.39475,120.7903,81.3795,0
822,HD 4208 b,HD 4208,1,1,Radial Velocity,2001,Ground,W. M. Keck Observatory,832.97,1.662,13.9,1.24,257.4423,0.81,,,5717,0.85,0.88,-88.32376,53.97036,34.1937,0
823,HD 42618 b,HD 42618,1,1,Radial Velocity,2016,Ground,Multiple Observatories,149.61,0.554,3.89,0.347,14.4,0.04531,337,G4 V,5727,1,1.01,-5.591522,202.358,24.3358,0
824,HD 4308 b,HD 4308,1,1,Radial Velocity,2005,Ground,La Silla Observatory,15.56,0.12,4.12,0.368,15.8915,0.05,,,5686,1.02,0.93,-51.46395,304.0542,22.0158,0
825,HD 4313 b,HD 4313,1,1,Radial Velocity,2009,Ground,W. M. Keck Observatory,356.21,1.157,13.4,1.2,612.45841,1.927,,,4943,5.14,1.63,-54.99885,120.4421,136.308,0
826,HD 43197 b,HD 43197,1,1,Radial Velocity,2010,Ground,La Silla Observatory,327.8,0.92,14.1,1.26,190.69,0.6,,G8 V,5508,1,0.96,-20.73868,236.8147,62.4112,0
827,HD 43691 b,HD 43691,3,1,Radial Velocity,2007,Ground,Haute-Provence Observatory,36.9987,0.238,13.2,1.18,810.4665,2.55,,G0,6093,1.6,1.32,11.93273,172.6494,85.6009,0
828,HD 44219 b,HD 44219,1,1,Radial Velocity,2010,Ground,La Silla Observatory,472.3,1.19,14.1,1.26,184.33,0.58,,G2 V,5752,1.32,1,-11.74339,219.0779,52.9051,0
829,HD 45184 b,HD 45184,1,2,Radial Velocity,2019,Ground,La Silla Observatory,5.8854,0.0644,3.52,0.314,12.19,0.0384,,G1.5 V,5869,,1.03,-18.07288,236.6254,21.9532,0
830,HD 45184 c,HD 45184,1,2,Radial Velocity,2019,Ground,La Silla Observatory,13.1354,0.11,2.91,0.26,8.81,0.0277,,G1.5 V,5869,,1.03,-18.07288,236.6254,21.9532,0
831,HD 45350 b,HD 45350,1,1,Radial Velocity,2004,Ground,W. M. Keck Observatory,963.6,1.92,13.5,1.2,568.89,1.79,,G5 V,5566,1.26,0.98,12.61347,175.3879,46.8733,0
832,HD 45364 b,HD 45364,1,2,Radial Velocity,2008,Ground,La Silla Observatory,226.93,0.6813,8.97,0.8,59.4953,0.1872,,K0 V,5434,,0.82,-18.86704,239.355,34.354,0
833,HD 45364 c,HD 45364,1,2,Radial Velocity,2008,Ground,La Silla Observatory,342.85,0.8972,14.1,1.25,209.0915,0.6579,,K0 V,5434,,0.82,-18.86704,239.355,34.354,0
834,HD 45652 b,HD 45652,1,1,Radial Velocity,2008,Ground,Haute-Provence Observatory,44.073,0.237,14.3,1.28,137.62039,0.433,,G8/K0,5294,0.94,0.92,0.1093616,200.6839,34.8541,0
835,HD 46375 b,HD 46375,2,1,Radial Velocity,2000,Ground,W. M. Keck Observatory,3.023573,0.0398,10,0.894,71.8,0.226,,K1 IV-V,5285,,0.92,-1.545852,205.9916,29.5529,0
836,HD 47186 b,HD 47186,1,2,Radial Velocity,2008,Ground,La Silla Observatory,4.0845,0.05,5.02,0.448,22.2481,0.07,,,5657,1.08,0.96,-15.30677,236.5028,37.4574,0
837,HD 47186 c,HD 47186,1,2,Radial Velocity,2008,Ground,La Silla Observatory,1353.6,2.395,13,1.16,111.42,0.35061,,,,,,-15.30677,236.5028,37.4574,0
838,HD 4732 b,HD 4732,2,2,Radial Velocity,2012,Ground,Multiple Observatories,360.2,1.19,13.3,1.19,753.23,2.37,,K0 IV,4959,5.4,1.74,-86.96741,113.3773,54.7841,0
839,HD 4732 c,HD 4732,2,2,Radial Velocity,2012,Ground,Multiple Observatories,2732,4.6,13.3,1.19,753.23,2.37,,K0 IV,4959,5.4,1.74,-86.96741,113.3773,54.7841,0
840,HD 47366 b,HD 47366,1,2,Radial Velocity,2016,Ground,Okayama Astrophysical Observatory,359.15,1.28,13.3,1.19,731.009,2.3,,K1 III,4914,6.2,2.19,-8.887088,223.0355,84.3552,0
841,HD 47366 c,HD 47366,1,2,Radial Velocity,2016,Ground,Okayama Astrophysical Observatory,682.85,1.97,13.4,1.2,597.5204,1.88,,K1 III,4914,6.2,2.19,-8.887088,223.0355,84.3552,0
842,HD 47536 b,HD 47536,1,1,Radial Velocity,2002,Ground,La Silla Observatory,712.13,1.93,12.6,1.13,2330,7.32,,K1 III,4380,23.47,2.1,-16.77794,241.1816,122.536,0
843,HD 48265 b,HD 48265,1,1,Radial Velocity,2008,Ground,Las Campanas Observatory,778.51,1.814,13.5,1.21,484.69075,1.525,,G5 V,5733,1.9,1.31,-21.78063,257.527,90.5446,0
844,HD 4917 b,HD 4917,1,1,Radial Velocity,2018,Ground,W. M. Keck Observatory,400.5,1.167,13.5,1.21,513.29545,1.615,,,4802,5.01,1.32,-75.79914,122.6009,204.277,0
845,HD 49674 b,HD 49674,1,1,Radial Velocity,2002,Ground,W. M. Keck Observatory,4.94737,0.06,6.2,0.553,31.783,0.1,,G5 V,5602,1.02,1.03,17.37142,175.3387,43.0399,0
846,HD 50499 b,HD 50499,1,2,Radial Velocity,2005,Ground,W. M. Keck Observatory,2447.1,3.833,13.5,1.2,519.96988,1.636,,G1 V,6102,1.35,1.25,-14.62582,243.8782,46.2845,0
847,HD 50499 c,HD 50499,1,2,Radial Velocity,2019,Ground,La Silla Observatory,8619.9,9.02,13.2,1.17,931.2419,2.93,,G1 V,6099,1.42,1.31,-14.62582,243.8782,46.2845,0
848,HD 50554 b,HD 50554,1,1,Radial Velocity,2002,Ground,Lick Observatory,1293,2.353,12.9,1.15,1574.464,4.954,,F8 V,5987,1.02,1.04,11.46958,191.4101,31.1664,0
849,HD 51608 b,HD 51608,1,2,Radial Velocity,2019,Ground,La Silla Observatory,14.0726,0.1059,3.62,0.323,12.77,0.0402,,G7 V,5358,,0.8,-21.53915,265.1558,35.0553,0
850,HD 51608 c,HD 51608,1,2,Radial Velocity,2019,Ground,La Silla Observatory,95.9446,0.3809,3.87,0.346,14.31,0.045,,G7 V,5358,,0.8,-21.53915,265.1558,35.0553,0
851,HD 52265 b,HD 52265,1,1,Radial Velocity,2000,Ground,W. M. Keck Observatory,119.27,0.52,13.7,1.22,384.5743,1.21,405,,6136,1.32,1.2,-0.4809804,218.7173,29.9803,0
852,HD 5319 b,HD 5319,1,2,Radial Velocity,2007,Ground,W. M. Keck Observatory,637.1,1.57,13.5,1.21,494.54348,1.556,,G5 IV,4871,4.06,1.27,-62.06887,124.8456,121.405,0
853,HD 5319 c,HD 5319,1,2,Radial Velocity,2014,Ground,W. M. Keck Observatory,872.2,1.93,13.8,1.23,334.67499,1.053,,K3 IV,4871,4.06,1.27,-62.06887,124.8456,121.405,0
854,HD 55696 b,HD 55696,1,1,Radial Velocity,2018,Ground,W. M. Keck Observatory,1827,3.18,13,1.16,1230.0021,3.87,,G0 V,6012,1.52,1.29,-12.61383,249.5859,77.9693,0
855,HD 5583 b,HD 5583,1,1,Radial Velocity,2016,Ground,Roque de los Muchachos Observatory,139.35,0.53,12.8,1.14,1837.0574,5.78,,,4830,9.09,1.01,-27.86717,124.4396,219.216,0
856,HD 5608 b,HD 5608,1,1,Radial Velocity,2012,Ground,Okayama Astrophysical Observatory,779.9,1.911,13.5,1.2,534.27223,1.681,,,4877,5.14,1.53,-28.8996,124.5425,58.1105,0
857,HD 564 b,HD 564,1,1,Radial Velocity,2014,Ground,La Silla Observatory,492.3,1.2,12.5,1.12,104.88,0.33,,G2/G3 V,5902,1.01,0.96,-65.53625,319.0939,51.1659,0
858,HD 5891 b,HD 5891,1,1,Radial Velocity,2011,Ground,W. M. Keck Observatory,177.11,0.64,12.6,1.13,2425.0429,7.63,,,4673,10.64,1.93,-42.52791,125.8327,283.502,0
859,HD 59686 A b,HD 59686 A,2,1,Radial Velocity,2016,Ground,Lick Observatory,299.36,1.086,12.7,1.13,2199.3836,6.92,,K2 III,4658,13.2,1.9,16.44193,201.804,89.2721,0
860,HD 60532 b,HD 60532,1,2,Radial Velocity,2008,Ground,La Silla Observatory,201.9,0.77,13.8,1.23,336.8998,1.06,,F6 IV,6245,2.57,1.5,-1.189707,237.4979,25.9716,0
861,HD 60532 c,HD 60532,1,2,Radial Velocity,2008,Ground,La Silla Observatory,600.1,1.6,13.3,1.18,797.7533,2.51,,F6 IV,6245,2.57,1.5,-1.189707,237.4979,25.9716,0
862,HD 62509 b,HD 62509,1,1,Radial Velocity,2006,Ground,Multiple Observatories,589.64,1.64,13.3,1.19,731,2.3,,,4892.63,8.9,2,23.40625,192.2293,10.34,0
863,HD 63433 b,HD 63433,1,2,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),7.10793,0.0719,2.15,0.192,5.27,0.0166,886,,5640,0.91,0.99,24.14752,193.2819,22.4035,0
864,HD 63433 c,HD 63433,1,2,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),20.5453,0.1458,2.67,0.238,7.61,0.0239,622,,5640,0.91,0.99,24.14752,193.2819,22.4035,0
865,HD 63454 b,HD 63454,1,1,Radial Velocity,2005,Ground,La Silla Observatory,2.81805,0.04,12.31,1.098,79.4575,0.25,,K4 V,4812,0.77,0.42,-24.13843,290.3543,37.6894,0
866,HD 63765 b,HD 63765,1,1,Radial Velocity,2009,Ground,La Silla Observatory,358,0.94,14.2,1.27,168.4499,0.53,,G9 V,5449,0.83,0.65,-14.09441,267.1967,32.5376,0
867,HD 64114 b,HD 64114,1,1,Radial Velocity,2019,Ground,Las Campanas Observatory,45.791,0.246,4.41,0.393,17.8,0.056,,G7 V,5676,,0.95,8.084969,229.788,31.5262,0
868,HD 6434 b,HD 6434,1,1,Radial Velocity,2003,Ground,La Silla Observatory,21.998,0.14,14.2,1.27,155.7367,0.49,,,5769,1.12,1.1,-77.33738,291.2112,42.358,0
869,HD 65216 b,HD 65216,3,2,Radial Velocity,2003,Ground,La Silla Observatory,577.6,1.301,13.6,1.22,411.58985,1.295,,G5 V,5612,0.88,0.87,-17.61415,276.2745,35.1205,0
870,HD 65216 c,HD 65216,3,2,Radial Velocity,2013,Ground,La Silla Observatory,5370,5.75,13.4,1.19,645.1949,2.03,,,5612,0.89,0.87,-17.61415,276.2745,35.1205,0
871,HD 66141 b,HD 66141,1,1,Radial Velocity,2012,Ground,Bohyunsan Optical Astronomical Observatory,480.5,1.2,12.8,1.14,1906.9,6,,K2 III,4323,21.4,1.1,16.80036,219.0674,68.1509,0
872,HD 66428 b,HD 66428,1,1,Radial Velocity,2005,Ground,W. M. Keck Observatory,2263.12,3.467,13.1,1.17,1018.32732,3.204,,,5773,1.1,1.08,15.41802,222.4262,53.2817,0
873,HD 67087 b,HD 67087,1,2,Radial Velocity,2015,Ground,Multiple Observatories,352.2,1.08,13.1,1.17,973,3.06,,F8 V,6330,1.55,1.36,29.09245,190.1175,76.5217,0
874,HD 67087 c,HD 67087,1,2,Radial Velocity,2015,Ground,Multiple Observatories,2374,3.86,12.9,1.15,1540,4.85,,F8 V,6330,1.55,1.36,29.09245,190.1175,76.5217,0
875,HD 6718 b,HD 6718,1,1,Radial Velocity,2009,Ground,La Silla Observatory,2496,3.55,13.5,1.2,533.9544,1.68,,,5801,0.95,1.08,-70.71186,135.2811,51.3444,0
