name,orbit,orbit_period,star_brightness,star_temp,temp,radius_e,mass_e,density,discovered
HD 168443 c,2.8373,1749.83,6.917,5491,,,5464.221,,2000
HD 168443 b,0.2931,58.11247,6.917,5491,,,2434.157,,1998
K2-226 b,0.0413,3.27108,12.308,5424,1120,1.54,,,2018
BD-08 2823 b,0.06,5.6,9.88,4816,,,12.7132,,2009
BD-08 2823 c,0.68,237.6,9.88,4816,,,104,,2009
HD 106270 b,3.34,1888,7.58,5509,,,3219.6179,,2011
EPIC 206215704 b,,2.25372,15.598,,,0.9,,,2019
eps Eri b,,2690,3.82,,,,247.9074,,2000
K2-248 b,0.0699,7.17256,13.402,5528,886,2.57,,,2018
KELT-11 b,,4.7361,8.04,5375,,15.132,54.34893,,2017
HD 181234 b,7.52,7462.0575,8.59,5386,,,2660.2371,,2019
91 Aqr b,0.7,181.4,4.25,4665,,,1017,,2013
K2-73 b,0.07619,7.49543,11.345,5922,,2.45,,,2016
K2-39 b,,4.60543,10.83,4881,,6.277,28.6047,,2016
K2-249 b,0.1151,12.409,11.827,6504,1061,2.79,,,2018
K2-250 b,0.0459,4.01457,14.267,5172,958,2.44,,,2018
K2-194 b,,39.721386,12.908,5979,,3.642,,,2018
WASP-136 b,0.0661,5.215357,9.98,6260,1742,15.468,479.9233,0.773,2016
HD 18015 b,3.87,2278,7.89,5603,,,1010.6994,,2018
K2-132 b,,9.1751,11.897,4840,,14.572,155.7367,,2017
K2-74 b,0.1402,19.5666,12.588,6060,,2.31,,,2016
HW Vir b,4.69,4640,10.692,,,,4602.90201,,2012
K2-128 b,0.056,5.675819,12.627,4469.51,,1.42,,,2017
K2-251 b,0.0694,9.30075,15.621,3717,437,2.35,,,2018
K2-195 c,,28.482786,12.497,5713,,2.576,,,2018
K2-195 b,0.1208,15.852975,12.497,5713,720,3.13,,,2018
K2-227 b,,13.621832,12.015,5673,,1.666,,,2018
K2-196 b,,48.324222,12.06,6045,,3.6,,,2018
HD 38801 b,1.623,685.25,8.224,5338,,,3082.31534,,2009
WASP-157 b,0.0499,3.951623,12.91,5772,1193,11.19,,,2016
K2-252 b,0.1041,13.81513,12.847,5152,639,1.74,,,2018
HD 1690 b,1.36,533,9.17,4374,,,2793.7257,,2010
HD 6718 b,3.55,2496,8.45,5801,,,533.9544,,2009
HD 1461 c,0.1117,13.5052,6.47,5765,,,5.59,,2015
HD 1461 b,0.0634,5.77152,6.47,5765,,,6.44,,2010
WASP-36 b,0.02677,1.53736596,,5959,1733,14.874,750.39663,1.26,2011
HD 110014 b,2.14,835.477,4.66,4445,,,3524.59,,2009
EPIC 206317286 b,,1.58252,14.051,,,0.96,,,2019
K2-28 b,0.0214,2.260455,16.061,3214,568,2.32,,,2016
K2-238 b,0.046,3.20466,13.748,5630,1587,14.572,273.3338,0.56,2018
GJ 581 e,0.02815,3.149,10.56,,,,1.7,,2009
GJ 581 c,0.0721,12.914,10.56,,,,5.5,,2007
GJ 581 b,0.04061,5.3686,10.56,,,,15.8,,2005
K2-325 b,0.0419,6.93,16.278,3287,423,2.2,,,2020
HD 26965 b,,42.378,4.43,5072,,,8.47,,2018
K2-294 b,,2.50387,12.502,5612,1425,1.66,,,2019
HD 210277 b,1.13,442.19,6.53,5538,,,410.0007,,1998
K2-75 c,0.1429,18.311,12.701,5995,,2.77,,,2016
K2-75 b,0.081,7.8142,12.701,5995,,2.67,,,2016
HD 206610 b,1.74,673.2,8.34,4842,,,647.10188,,2009
K2-197 b,0.0806,8.357881,12.157,5667,848,2.56,,,2018
EPIC 212737443 c,0.28,65.55,14.836,4684,316,2.69,,,2019
EPIC 212737443 b,0.098,13.603,14.836,4684,536,2.586,,,2019
HD 106515 A b,4.59,3630,7.972,5362,,,3054.22,,2012
WASP-77 A b,,1.36003,10.3,5365,,15.468,727.8307,,2012
GJ 3323 c,0.1264,40.54,12.22,3159,,,2.31,,2017
GJ 3323 b,0.03282,5.3636,12.22,3159,,,2.02,,2017
K2-228 b,0.0338,2.69828,12.995,4715,914,1.21,,,2018
K2-241 b,0.1567,26.8199,11.97,5262,507,2.55,,,2018
Qatar-2 b,0.02153,1.33711647,13.3,4645,1344,14.056,792.635,1.573,2011
K2-229 b,0.0131,0.58426,10.985,5315,1818,1.14,,,2018
K2-229 c,0.0769,8.32727,10.985,5315,750,2.03,,,2018
CoRoT-17 b,0.0461,3.7681,15.46,5740,1626,11.43,772.29,2.82,2011
K2-230 b,0.0409,2.86041,12.707,5945,1529,1.96,,,2018
K2-242 b,0.0494,6.51389,16.588,3459,416,2.54,,,2018
K2-198 b,,17.0428683,10.971,5212.9,716,4.189,,,2018
K2-198 d,,7.4500177,10.971,5212.9,943,2.438,,,2019
K2-198 c,,3.3596055,10.971,5212.9,1230,1.423,,,2019
HD 215152 d,0.08799,10.86499,8.11,4935,,,2.801,,2018
HD 215152 c,0.067393,7.28243,8.11,4935,,,1.72,,2018
HD 215152 b,0.057638,5.75999,8.11,4935,,,1.819,,2018
HD 215152 e,0.15417,25.1967,8.11,4935,,,2.877,,2018
K2-253 b,0.0506,4.00167,14.868,6027,1238,12.67,,,2018
K2-156 b,0.0149,0.81314,13.424,4597,1347,1.15,,,2018
WASP-35 b,,3.16158,11.01,5990,,14.572,225.6593,,2011
K2-137 b,0.0058,0.179715,15.498,3492,1471,0.89,158.915,,2017
Wolf 503 b,0.0571,6.00118,10.26,4716,805,2.03,,,2018
K2-199 c,0.0668,7.374694,12.289,4648,653,2.78,,,2018
K2-199 b,0.0385,3.225338,12.289,4648,861,1.87,,,2018
K2-279 b,0.067,7.122605,11.491,5558,879,1.21,,,2018
K2-293 b,,13.1225,13.357,5532,750,2.45,,,2019
CoRoT-16 b,0.0618,5.35227,15.63,5650,,13.11,170.032,0.44,2011
BD-06 1339 c,0.435,125.94,9.7,4324,,,53,,2013
BD-06 1339 b,0.0428,3.8728,9.7,4324,,,8.5,,2013
HD 222582 b,1.34,572.38,7.68,5790,,,2660.2371,,1999
K2-152 b,0.1716,32.6479,13.728,4044,337,2.29,,,2018
K2-157 b,,0.365257,12.823,5456,,1.055,,,2018
HD 2638 b,0.04,3.4442,9.375,5186,,,133.4886,,2005
K2-158 c,0.0622,5.90279,11.774,5503,948,1.28,,,2018
K2-158 b,0.0887,10.06049,11.774,5503,794,2.64,,,2018
HD 30562 b,2.34,1157,5.78,5882,,,387.7526,,2009
CoRoT-14 b,0.027,1.51214,16.033,6035,1952,12.22,2415.4,7.3,2010
K2-99 b,0.1597,18.251985,11.149,6217,1113,11.73,,,2016
HD 52265 b,0.52,119.27,6.3,6136,,,384.5743,,2000
HU Aqr AB c,5.4,4368,,,,,1430.235,,2011
HU Aqr AB b,3.6,2390,,,,,1875.197,,2011
HD 126614 b,2.37,1244,8.788,5568,,,130.3103,,2009
K2-42 b,0.0617,6.68796,15.023,4613,,2.15,,,2016
EPIC 246193072 b,0.1016,12.4551225,12.697,5282,650,8.676,82.6358,0.694,2020
WASP-69 b,,3.86814,9.87,4700,,12.442,92.1707,,2014
CoRoT-13 b,0.051,4.03519,15.039,5945,1700,9.92,415.704,2.34,2010
WASP-106 b,,9.28971,11.21,6055,,11.433,514.8846,,2014
HD 7449 b,2.38,1255.5,7.483,6024,,,161.45764,,2011
TRAPPIST-1 e,0.02817,6.099615,18.8,2559,251,0.918,0.62,4.4,2017
TRAPPIST-1 h,,18.767,18.8,2559,173,0.752,,,2017
TRAPPIST-1 g,0.0451,12.35294,18.8,2559,199,1.127,1.34,5.2,2017
TRAPPIST-1 f,0.0371,9.20669,18.8,2559,219,1.045,0.68,3.3,2017
TRAPPIST-1 d,0.02144,4.04961,18.8,2559,288,0.772,0.41,4.9,2016
TRAPPIST-1 b,0.01111,1.51087081,18.8,2559,400,1.086,0.85,3.6,2016
TRAPPIST-1 c,0.01521,2.4218233,18.8,2559,342,1.056,1.38,6.45,2016
K2-243 b,0.1087,11.54182,10.97,6570,1035,2.17,,,2018
K2-243 c,0.1817,24.94598,10.97,6570,801,2.01,,,2018
EPIC 201170410.02,0.0349,6.7987,15.673,3648,,1.047,,,2020
HD 100777 b,1.03,383.70001,8.418,5533,,,327.3649,,2007
K2-254 b,0.0448,4.09639,14.183,4629,791,1.63,,,2018
K2-254 c,0.0923,12.11839,14.183,4629,551,2.19,,,2018
GJ 849 b,2.35,1882,10.37,3241,,,317.83,,2006
K2-200 b,,2.849883,12.459,5233,,1.364,,,2018
CoRoT-31 b,0.0586,4.62941,,5700,,16.365,266.9772,0.33,2020
K2-43 c,,2.198884,15.596,3840.6,1094,2.42,,,2019
K2-43 b,,3.471149,15.596,3840.6,939,4.51,,,2016
K2-4 b,0.078,10.003417,14.907,4014.73,,2.1,,,2015
WASP-127 b,0.0484,4.17806203,10.15,,,14.695,52.3466,0.097,2016
K2-244 b,0.1418,21.06884,11.78,5677,638,1.75,,,2018
HD 86081 b,0.0346,2.1378431,8.73,5939,,,470.3884,,2006
CoRoT-24 c,0.098,11.759,,4950,850,5,28,1.3,2014
CoRoT-24 b,0.056,5.1134,,4950,1070,3.7,5.7,0.9,2014
HIP 35173 b,0.217,41.516,9.01,4881,,,12.7,,2019
K2-159 b,0.1013,12.42205,11.994,5425,684,2.26,,,2018
HD 16141 b,0.36,75.523,6.83,5757,,,82.6358,,2000
HD 111998 b,1.82,825.9,6.11,6557,,,1433.4133,,2016
K2-160 b,,3.705871,12.649,5649,,3.178,,,2018
K2-161 b,,9.283188,12.631,4972,,6.117,,,2018
WASP-39 b,0.0486,4.055259,12.11,5400,,14.235,88.989,0.186,2011
81 Cet b,2.5,952.7,5.65,4785,,,1684.4,,2008
EPIC 201238110 b,,28.1656,14.904,,,1.87,,,2019
HAT-P-45 b,0.0452,3.128992,,6330,1652,15.984,283.492,0.38,2014
K2-255 b,0.0274,1.96417,13.756,4676,1034,2.9,,,2018
HD 107148 b,0.269,48.056,8.015,5797,,,66.741,,2005
CoRoT-1 b,,1.5089557,13.6,5950,1898,16.7,327.35,0.38,2008
HAT-P-46 b,0.0577,4.463129,,6120,1458,14.392,156.684,0.28,2014
HD 103720 b,0.0498,4.5557,9.49,5017,,,197.046,,2014
K2-154 b,0.0405,3.67626,14.033,4097,715,1.99,,,2018
K2-154 c,0.0677,7.95486,14.033,4097,552,2.07,,,2018
GJ 536 b,0.06661,8.7076,9.72,3685,,,5.36,,2016
HD 179079 b,0.1214,14.479,7.95,5646,,,25.74423,,2008
K2-44 b,0.06,5.657,12.189,5912,,2.433,,,2016
HD 96063 b,1.11,362.5,8.21,5020,,,403.6441,,2011
51 Eri b,12,11688,5.23,,,,,,2015
HD 217107 b,0.08,7.12682,6.16,5622,,,413.179,,1998
HD 217107 c,5.32,4270,6.16,5622,,,826.32,,2005
HD 290327 b,3.43,2443,8.99,5505,,,772.3269,,2009
HD 114783 c,,4319,7.55,5135,,,194.19413,,2018
HD 114783 b,1.16,493.7,7.55,5135,,,349.6,,2001
HD 218566 b,0.69,225.7,8.628,4730,,,63.566,,2010
HD 92788 c,10.5,11611.2975,7.31,5744,,,1166.4361,,2019
HD 92788 b,0.97,325.803,7.31,5744,,,1195.0408,,2000
WASP-80 b,0.0344,3.06785234,11.87,4143,825,11.198,170.99254,0.717,2012
K2-256 b,0.0578,5.52011,14.939,5219,845,2.63,,,2018
WASP-57 b,0.03769,2.83891856,13.04,5600,1338,11.769,204.68252,0.693,2012
NY Vir b,,3160,,8868.67,,,845.4278,,2011
NY Vir c,,8799,,8868.67,,,1760.7782,,2019
WASP-180 A b,0.048,3.409264,10.682,6600,1540,13.899,286.047,0.61,2019
K2-257 b,0.0216,1.60588,13.716,3725,789,0.83,,,2018
K2-5 c,0.0818,10.93241,14.91,3930,456,2.26,,,2015
K2-5 b,0.0532,5.73594,14.91,3930,565,1.91,,,2015
WASP-177 b,0.03957,3.071722,12.58,5017,1142,17.71,161.45764,0.172,2019
K2-45 b,0.0224,1.7292684,15.78,4103,,6.71,,,2016
K2-245 b,0.0959,11.89307,12.212,5793,923,4.34,,,2018
WASP-28 b,0.04469,3.40883,12.03,6150,1468,13.597,288.26,0.676,2014
HD 72659 b,4.75,3658,7.46,5932,,,1223.6455,,2002
HD 99109 b,1.11,439.29999,9.1,5282,,,139.8452,,2005
K2-3 b,,10.054626,12.17,3896,,,6.48,3.7,2015
K2-3 d,,44.55646,12.17,3896,,,2.8,5.62,2015
K2-3 c,,24.646582,12.17,3896,,,2.14,2.98,2015
CoRoT-12 b,0.04016,2.828042,15.515,5675,1442,16.14,291.438,0.411,2010
GJ 9827 d,0.05591,6.2014698,10.25,4340,,2.022,4.04,2.69,2017
GJ 9827 c,0.03925,3.6480957,10.25,4340,,1.241,0.84,2.42,2017
GJ 9827 b,0.0188,1.2089819,10.25,4340,,1.577,4.91,6.93,2017
HD 102843 b,4.074,3090.942,9.268,5436,,,113.9,,2019
K2-6 b,0.1898,30.94191,12.654,5850,615,2.5,,,2015
HD 19994 b,1.305,466.2,5.06,6188,,,435.41,,2003
K2-203 b,,9.695101,12.353,5000,,1.371,,,2018
K2-141 c,,7.7485,11.389,4599,,7,7.4,,2018
K2-141 b,,0.2803244,11.389,4599,,1.51,5.08,8.2,2018
HD 66428 b,3.467,2263.12,8.246,5773,,,1018.32732,,2005
K2-258 b,0.149,19.0921,13.298,6351,831,3,,,2018
K2-246 b,0.0602,5.76918,14.55,5610,977,3.49,,,2018
K2-162 b,0.0795,9.45889,12.3,4842,631,1.44,,,2018
WASP-74 b,,2.13775,9.7,5990,,15.244,228.8376,,2015
K2-7 b,0.1814,28.67992,13.213,5772,651,2.67,,,2015
CoRoT-7 b,,0.85359163,11.668,5275,,1.681,4.07661,,2009
CoRoT-7 c,0.046,3.698,11.668,5275,,,8.4,,2009
75 Cet b,2.1,691.9,5.35,4846,,,953.49,,2012
K2-46 b,0.13821,19.1541,12.029,6256,,2.05,,,2016
24 Sex b,1.333,452.8,6.441,5098,,,632.46,,2010
24 Sex c,2.08,883,6.441,5098,,,273.32,,2010
HD 192263 b,0.15,24.3556,7.79,4976,,,177.9848,,1999
WASP-183 b,0.04632,4.1117771,12.76,5313,1111,16.477,159.55066,0.21,2019
HIP 97233 b,2.55,1058.8,7.34,5020,,,6356.3,,2014
CoRoT-4 b,0.09,9.20205,,6190,1074,13.34,228.83,0.525,2008
K2-163 b,,6.673117,13.129,4937,,2.466,,,2018
K2-204 b,,7.055784,13.01,5755,,3.046,,,2018
WASP-138 b,0.0494,3.634433,11.81,6272,1590,12.218,387.7526,1.2,2016
HD 217786 b,2.38,1319,7.8,5966,,,4131.62,,2011
HD 106315 c,0.1536,21.05704,8.951,6327,886,4.35,15.2,1.01,2017
HD 106315 b,0.0907,9.55237,8.951,6327,1153,2.44,12.6,4.7,2017
CoRoT-21 b,0.0417,2.72474,16,6200,,14.572,718.2958,1.36,2012
K2-8 c,0.0532,5.06416,14.61,4870,801,2.41,,,2016
K2-8 b,0.0856,10.35239,14.61,4870,631,3.58,,,2015
HD 130322 b,0.0925,10.70871,8.031,5387,,,365.49,,1999
K2-148 c,0.0616,6.9226,13.507,4079,,1.73,,,2018
K2-148 b,0.0454,4.38395,13.507,4079,,1.33,,,2018
K2-148 d,0.0774,9.7579,13.507,4079,,1.64,,,2018
CoRoT-19 b,0.0518,3.89713,14.007,6090,2000,14.46,352.78,0.71,2011
WASP-54 b,,3.69364,10.42,6100,,17.71,187.5197,,2012
K2-164 b,,17.355066,11.235,5791,,3.249,,,2018
CoRoT-18 b,0.0295,1.9000693,15,5440,1550,14.68,1102.82,2.2,2011
K2-9 b,0.091,18.4498,15.63,3390,314,2.25,,,2015
HD 164509 b,0.87,280.17,8.1,5859,,,140.79869,,2010
CoRoT-3 b,,4.2568,13.292,6740,,11.32,6883.91,26.4,2008
CoRoT-20 b,0.09,9.24285,14.66,,,,1366.669,,2011
CoRoT-20 c,2.9,1675,14.66,,,,5403.11,,2018
WASP-151 b,0.055,4.533471,12.795,5871,1290,12.666,98.5273,0.29,2017
K2-205 b,,26.672263,12.391,5890,,1.996,,,2018
HIP 116454 b,,9.1205,10.19,5089,,2.466,12.7132,,2014
EPIC 201497682 b,,2.13174,14.102,,,0.692,,,2019
K2-261 b,0.102,11.63344,10.612,5537,1080,9.528,70.87609,0.483,2018
K2-206 b,,18.294549,13.1,5043,,2.795,,,2018
K2-19 b,0.074,7.9194,13,5430,854,7.74,,,2015
K2-19 c,0.0971,11.90715,13,5430,745,4.86,,,2015
K2-19 d,0.0344,2.50856,13,5430,1252,1.14,,,2016
K2-207 b,,12.48749,13.166,5522,,2.606,,,2018
CoRoT-10 b,0.1055,13.2406,15.22,5075,600,10.87,874,3.7,2010
WASP-71 b,,2.90367,10.56,6050,,13.227,441.7837,,2012
HD 5319 b,1.57,637.1,8.05,4871,,,494.54348,,2007
HD 5319 c,1.93,872.2,8.05,4871,,,334.67499,,2014
Ross 128 b,0.0496,9.8658,11.15,3192,301,,1.4,,2017
CoRoT-5 b,0.04947,4.0378962,,6100,1438,15.558,148.42,0.217,2009
K2-208 b,,4.190948,12.503,5582,,1.679,,,2018
K2-266 d,0.1035,14.697,11.808,4285,538,2.93,8.9,2.03,2018
K2-266 c,0.0679,7.814,11.808,4285,665,0.705,0.29013,4.51,2018
K2-266 b,0.01306,0.658524,11.808,4285,1515,3.3,11.26782,1.77,2018
K2-266 e,0.1249,19.482,11.808,4285,490,2.73,14.3,2.21,2018
K2-165 d,,14.101361,11.331,5185,,2.648,,,2018
K2-165 c,,4.382745,11.331,5185,,1.554,,,2018
K2-165 b,,2.354992,11.331,5185,,1.274,,,2018
WASP-37 b,0.0446,3.577469,12.704,5800,,13.002,572.07,1.53,2010
HD 38529 c,3.64,2136.1,5.95,5541,,,4128.6117,,2000
HD 38529 b,0.1294,14.30944,5.95,5541,,,253.31051,,2000
WASP-32 b,,2.71866,11.3,6140,,10.761,835.8929,,2010
K2-27 b,0.06702,6.771315,12.64,5248,902,4.48,30.9,1.87,2016
K2-35 c,0.055,5.608352,14.35,4402.71,,1.93,,,2016
K2-35 b,0.031,2.399964,14.35,4402.71,,1.32,,,2016
K2-285 b,0.03817,3.471745,12.03,4975,1089,2.59,9.68,3.07,2018
K2-285 c,0.0824,7.138048,12.03,4975,741,3.53,15.68,1.95,2018
K2-285 d,0.1178,10.45582,12.03,4975,620,2.48,6.5,,2018
K2-285 e,0.18041,14.76289,12.03,4975,501,1.95,10.7,,2018
K2-326 b,0.0198,1.256,15.342,3924,1114,2.28,,,2020
CoRoT-2 b,0.02798,1.7429935,12.57,5625,,16.432,1102.82,1.47,2008
K2-209 b,,2.080615,11.205,4720,,0.869,,,2018
CoRoT-8 b,0.063,6.21229,14.8,5080,,6.39,69.92,1.6,2010
GJ 328 b,4.5,4100,9.97,3900,,,731,,2013
K2-259 b,0.1271,15.48043,12.536,6059,795,2.32,,,2018
K2-210 b,,0.570233,11.535,5396,,0.819,,,2018
K2-10 b,,19.3044,12.418,5620,,3.84,27,2.6,2015
K2-211 b,,0.669558,13.075,5221,,1.375,,,2018
HD 95089 c,3.33,1785,7.92,4918,,,1096.5135,,2018
HD 95089 b,1.36,464.4,7.92,4918,,,400.4658,,2009
HD 70573 b,1.76,851.8,11.424,5737,,,1900,,2007
WASP-84 b,0.0771,8.5234865,10.83,5314,797,10.559,220.565,1.104,2014
WASP-82 b,,2.70579,10.1,6480,,18.159,371.8611,,2015
K2-11 b,0.2257,39.93767,13.386,5433,734,7.55,,,2015
K2-153 b,0.0614,7.51574,14.979,3845,497,2,,,2018
HD 149143 b,0.053,4.07182,7.89,5856,,,422.7139,,2005
ome Ser b,1.1,277.02,5.23,4770,,,540.3,,2013
K2-12 b,0.0802,8.28212,12.258,5800,1003,2.33,,,2015
K2-166 b,0.0858,8.52695,12.074,,1140,2.19,,,2018
EPIC 201615463 c,,3.80464,12.074,,,1.22,,,2019
HD 66141 b,1.2,480.5,4.38,4323,,,1906.9,,2012
WASP-24 b,,2.34121,11.306,6075,,15.468,394.1092,,2010
WASP-156 b,0.0453,3.836169,11.6,4910,970,5.717,40.68224,1.3,2017
K2-13 b,0.2114,39.91488,12.901,5698,511,1.89,,,2015
K2-321 b,0.041,2.298,13.677,3855,701,1.95,,,2020
LSPM J2116+0234 b,0.0876,14.4399,,3475,,,13.3,,2019
K2-14 b,0.0627,8.36802,16.31,3789,488,4.81,,,2015
K2-22 b,0.0088,0.381078,15.597,3830,2100,2.5,444.962,,2015
WASP-76 b,0.033,1.809886,9.5,6250,2160,20.512,292.4036,0.201,2016
WASP-118 b,0.05453,4.0460435,11.02,6410,1729,16.141,163.36462,0.233,2016
HD 10442 b,2.01,1032.3,7.84,4912,,,472.61321,,2014
BD+03 2562 b,1.3,481.9,9.58,4095,,,2034.112,,2017
K2-47 b,0.1779,31.6372,14.085,5054,,1.89,,,2016
HD 12484 b,0.297,58.83,8.17,5920,,,947.1334,,2016
HD 102195 b,0.05,4.11377,8.062,5301,,,130.3103,,2006
HD 99492 b,0.12,17.0431,7.58,4815,,,22.2481,,2004
K2-319 b,0.1516,26.68,12.172,5440,641,2.79,,,2020
K2-212 b,0.0785,9.79551,13.1,4272,542,2.52,,,2018
WASP-181 b,0.05427,4.5195064,12.91,5839,1186,13.271,95.03117,0.237,2019
K2-48 b,0.1344,20.5065,14.277,4899,,2.24,,,2016
WASP-81 b,0.03908,2.7164762,,5870,1623,16.018,231.69807,0.332,2017
HD 190007 b,0.092,11.72,7.458,4610,,,16.46,,2020
GJ 3473 b,0.01589,1.1980035,,3347,773,1.264,1.86,5.03,2020
GJ 3473 c,0.0876,15.509,,3347,329,,7.41,,2020
HD 102329 c,,1123,8.04,4745,,,483.1016,,2018
HD 102329 b,1.81,778.09998,8.04,4745,,,2593.4928,,2011
K2-49 b,0.0309,2.77065,15.668,4175,,1.93,,,2016
K2-213 b,,8.13087,11.803,5794,,1.514,,,2018
HAT-P-69 b,0.06555,4.7869491,,7394,1930,18.786,1137.8314,1.02,2019
HD 200964 c,1.96,852.5,6.48,4982,,,385.84562,,2010
HD 200964 b,1.565,606.3,6.48,4982,,,508.21017,,2010
K2-36 b,0.0223,1.422614,11.8,4916,1224,1.43,3.9,7.2,2016
K2-36 c,0.054,5.340888,11.8,4916,788,3.2,7.8,1.3,2016
HAT-P-26 b,,4.23452,11.744,5079,,7.062,22.2481,,2010
K2-214 b,0.0834,8.596802,11.805,5854,1006,2.43,,,2018
K2-15 b,0.091,11.8104,14.663,5131,676,2.48,,,2015
HD 175541 b,0.975,298.43,8.02,5013,,,190.06234,,2007
CoRoT-23 b,0.048,3.6313,15.63,5900,1660,11.77,889.9,3,2011
HD 3167 d,0.07757,8.509,8.94,5528,,,6.9,,2017
HD 3167 b,0.0186,0.959624,8.94,5528,1669,1.7,,,2016
HD 3167 c,0.1841,29.83832,8.94,5528,531,2.86,,,2016
K2-239 b,0.0441,5.24,14.549,3420,502,1.1,,,2018
K2-239 c,0.0576,7.775,14.549,3420,427,1,,,2018
K2-239 d,0.0685,10.115,14.549,3420,399,1.1,,,2018
K2-16 c,0.1229,19.07863,14.67,,485,2.54,,,2015
EPIC 201754305 d,,2.71578,14.67,,,1.03,,,2019
K2-16 b,0.0667,7.6188,14.67,,658,2.02,,,2015
HD 28678 b,1.18,380.2,8.38,4972,,,490.09386,,2011
HD 74156 c,3.85,2473,7.614,6068,,,2561.6,,2003
HD 74156 b,0.292,51.645,7.614,6068,,,572.07,,2003
HD 192699 b,1.063,340.94,6.44,5041,,,666.17168,,2007
EPIC 201757695.02,0.0296,2.0478,15.02,4520,,0.908,,,2020
NSVS 14256825 b,3.12,3225,,40000,,,4497.2945,,2019
HAT-P-41 b,,2.69405,11.087,6390,,22.978,378.2177,,2012
K2-322 b,0.0594,8.205,13.941,4141,635,1.92,,,2020
HAT-P-35 b,0.04978,3.646706,12.46,6096,,14.93,335.62848,0.55,2011
GJ 1214 b,0.01411,1.58040456,15.1,3026,,2.847,6.26125,1.49,2009
HD 203473 b,2.73,1552.9,8.23,5780,,,2479.074,,2018
HD 180617 b,0.343,105.911,9.12,3534,,,12.214,,2018
GJ 273 b,0.091101,18.6498,9.872,3382,,,2.89,,2017
GJ 273 c,0.036467,4.7234,9.872,3382,,,1.18,,2017
K2-320 b,0.0142,1.995,15.798,3157,698,2.62,,,2020
HD 46375 b,0.0398,3.023573,7.912,5285,,,71.8,,2000
CoRoT-27 b,0.0476,3.57532,15.54,5900,1500,11.287,3302.11,12.6,2014
CoRoT-28 b,0.0603,5.20851,,5150,,10.705,153.82972,0.69,2015
NGTS-5 b,0.0382,3.3569866,,4987,952,12.733,72.78307,,2019
HD 159243 b,0.11,12.62,8.646,6123,,,359.13,,2013
HD 159243 c,0.8,248.4,8.646,6123,,,603.9,,2013
HAT-P-30 b,,2.8106,10.419,6304,,16.141,263.7989,,2011
CoRoT-11 b,0.0436,2.99433,12.939,6440,1657,16.03,740.51,0.99,2010
HAT-P-27 b,0.04,3.039577,,5300,,11.43,197.05,,2011
K2-50 b,0.0705,8.7529,14.717,,,1.59,,,2016
EPIC 201833600 c,,3.96151,14.717,,,1,,,2019
HD 37605 b,0.277,55.01292,8.67,5329,,,854.9627,,2004
HD 37605 c,3.74,2720,8.67,5329,,,1013.8777,,2012
HAT-P-42 b,0.0575,4.641878,12.168,5743,1428,14.348,331.801,0.61,2012
K2-215 b,,8.269648,12.986,5704,,2.124,,,2018
EPIC 201841433 b,0.035,4.1698,14.867,5053,,1.04,,,2019
CoRoT-9 b,0.4021,95.272656,13.69,5625,420,11.949,266.9772,0.86,2009
CoRoT-22 b,0.092,9.75598,13.944,5939,885,4.88,12.2,0.249,2014
K2-323 b,0.1275,24.93,14.932,3710,318,2.1,,,2020
K2-216 b,0.028,2.1748,12.476,4503,1103,1.75,8,8.2,2018
HR 5183 b,18,27000,6.3,5794,171,,1026.5909,,2019
K2-17 b,0.119,17.96753,13.519,4320,487,2.23,,,2015
WASP-2 b,0.03144,2.152175,11.88,5180,1311,12.117,295.89973,0.914,2007
GJ 179 b,2.41,2288,12,3370,,,260.61,,2009
CoRoT-29 b,0.0386,2.85057,,5260,,10.088,270.1555,1.45,2015
K2-217 b,,14.074524,12.187,5967,,3.579,,,2018
CoRoT-25 b,0.0578,4.86069,,6040,1330,12.11,85.81,0.15,2013
WASP-85 A b,0.039,2.6556777,10.72,6112,1452,13.899,402.05495,0.88,2016
CoRoT-6 b,0.0855,8.886593,13.912,6090,1017,13.068,940.74,2.32,2009
HD 42618 b,0.554,149.61,6.839,5727,337,,14.4,,2016
K2-295 b,0.0451,4.024867,13.946,4444,852,10.054,106.47305,0.612,2018
CoRoT-30 b,0.0844,9.06005,15.65,5650,,11.31,921.707,3.45,2020
K2-218 b,,8.679885,12.876,5757,,2.569,,,2018
K2-324 b,0.0331,3.262,15.399,3752,707,2.43,,,2020
K2-113 b,0.0642,5.817685,13.684,5660,1098,12.14,,,2017
HD 171028 b,1.32,550,8.31,5671,,,832.7146,,2007
CoRoT-26 b,0.0526,4.20474,,5590,1600,14.12,165.26,0.28,2013
WASP-90 b,0.0562,3.916243,11.7,6430,1840,18.271,200.2329,0.193,2016
WASP-103 b,0.01985,0.925542,12.1,6110,2508,17.127,473.547,0.55,2014
K2-281 b,0.0773,8.687721,15.117,4812,665,8.18,,,2018
K2-149 b,0.083,11.332,14.484,3745,,1.64,,,2018
HD 34445 b,2.07,1049,7.328,5879,,,260.6206,,2009
HD 34445 c,0.7181,214.67,7.328,5879,,,53.5,,2017
HD 34445 g,6.36,5700,7.328,5879,,,120.6,,2017
HD 34445 f,1.543,676.8,7.328,5879,,,37.9,,2017
HD 34445 e,0.2687,49.175,7.328,5879,,,16.8,,2017
HD 34445 d,0.4817,117.87,7.328,5879,,,30.7,,2017
